pequena_100,media_1000,grande_10000,muito_grande_50000
358.0,10086.0,71411.0,94646
30281.0,63847.0,51763.0,17420
63788.0,78747.0,52444.0,57233
29392.0,19830.0,98375.0,98389
73087.0,90023.0,5277.0,16049
45766.0,89540.0,48595.0,53912
60677.0,70491.0,84967.0,75638
61687.0,6043.0,38487.0,58518
82192.0,32708.0,56792.0,36030
14558.0,17360.0,97672.0,98828
45261.0,86859.0,36943.0,93537
5261.0,68481.0,99211.0,55817
81634.0,63808.0,26477.0,72464
528.0,32740.0,45801.0,58386
77025.0,4425.0,40466.0,56819
16068.0,85435.0,3484.0,19386
17692.0,57779.0,28149.0,55257
89088.0,36037.0,66045.0,92447
18559.0,74709.0,88813.0,41896
18466.0,1212.0,26604.0,24045
59936.0,65349.0,16193.0,86134
42792.0,73055.0,53946.0,16256
92566.0,19641.0,71684.0,54708
1020.0,7468.0,96383.0,33846
66884.0,54969.0,3986.0,68560
71233.0,32247.0,51474.0,78446
69144.0,63498.0,80793.0,28148
77011.0,10014.0,29156.0,28290
11813.0,95789.0,40954.0,74931
55872.0,23682.0,96846.0,93203
82242.0,5052.0,98491.0,90024
36555.0,84983.0,15447.0,31834
68383.0,38236.0,84277.0,80362
84457.0,64552.0,28273.0,76586
38492.0,47954.0,82057.0,67986
25615.0,71813.0,84098.0,37532
29861.0,25223.0,83340.0,7459
3494.0,11025.0,76613.0,71622
81878.0,28373.0,51358.0,16111
92880.0,89001.0,32758.0,79151
40723.0,45800.0,20649.0,30282
18024.0,92463.0,99262.0,17019
65480.0,67310.0,71552.0,72789
80186.0,13778.0,90679.0,75512
18228.0,47058.0,26199.0,23334
74684.0,17048.0,14167.0,80006
4046.0,98348.0,65022.0,36326
83519.0,36793.0,60349.0,46941
13768.0,77931.0,21682.0,72841
60506.0,1440.0,58513.0,42852
94972.0,18964.0,81085.0,72549
19949.0,76814.0,66593.0,94361
55287.0,411.0,50723.0,37367
71895.0,65586.0,29718.0,97576
99741.0,49550.0,60743.0,9414
59571.0,5158.0,69819.0,6550
64608.0,28303.0,42832.0,19605
59913.0,80874.0,99378.0,50243
8191.0,42627.0,88045.0,79798
37695.0,56449.0,58727.0,40925
63111.0,66099.0,1120.0,86177
11936.0,54554.0,18817.0,9989
26670.0,6984.0,34528.0,66017
94093.0,90069.0,22125.0,47109
63590.0,60445.0,41708.0,72612
82054.0,28588.0,98859.0,58415
98764.0,4811.0,58256.0,57914
17850.0,60888.0,4345.0,97761
95201.0,52102.0,31839.0,34046
36001.0,70093.0,89645.0,66245
86777.0,46951.0,52522.0,33190
4713.0,33542.0,96330.0,46625
42120.0,49759.0,94410.0,86335
64052.0,30013.0,75231.0,57758
92486.0,50652.0,49505.0,64914
30886.0,97072.0,60549.0,86406
71047.0,79635.0,35656.0,71177
95383.0,51398.0,50219.0,74427
82356.0,87470.0,99299.0,34807
21951.0,23781.0,15697.0,97666
91449.0,76153.0,87675.0,99217
92256.0,53082.0,59638.0,95918
47863.0,52330.0,72209.0,19257
51033.0,3363.0,80964.0,18103
3684.0,85300.0,22568.0,98431
69544.0,50425.0,5591.0,80253
69121.0,17918.0,68705.0,56542
33643.0,64000.0,19918.0,22039
23933.0,75714.0,49474.0,31113
34011.0,5337.0,97482.0,48287
40020.0,96212.0,7115.0,52430
29445.0,10784.0,30660.0,16518
66055.0,59769.0,6168.0,53976
8235.0,96684.0,80448.0,29059
14500.0,76748.0,21822.0,20667
3637.0,22177.0,71041.0,91167
39101.0,58851.0,36606.0,15389
53297.0,71087.0,72362.0,84358
84674.0,2036.0,29866.0,96558
45800.0,33198.0,19880.0,17112
,28090.0,71065.0,92761
,27559.0,41203.0,51241
,55889.0,66762.0,59401
,27949.0,51193.0,7201
,42869.0,68404.0,63802
,46212.0,84160.0,14160
,34996.0,15695.0,3223
,75530.0,43512.0,50128
